month,branch_id,disbursements,collections,portfolio,operating_expenses,digital_transactions,portfolio_growth,collection_rate
2023-01,BR026,9800000.0,16713132,161292493,1957178,263,-6913132.0,1.0362002402678467
2023-01,BR027,13100000.0,12813476,141997752,1314957,144,286524.0,0.9023717502232006
2023-01,BR028,11700000.0,18003279,166683003,1610019,219,-6303279.0,1.0800908716529423
2023-01,BR029,11200000.0,19363169,200994632,2203136,72,-8163169.0,0.9633674694357012
2023-01,BR030,7100000.0,9889215,106445314,1127433,296,-2789215.0,0.9290418364494655
2023-01,BR031,15500000.0,22728822,235094312,2446961,262,-7228822.0,0.9667959129525855
2023-01,BR032,16800000.0,20063099,206317382,2081157,100,-3263099.0,0.972438618865375
2023-01,BR033,11100000.0,20007404,174551499,1927540,259,-8907404.0,1.146217827668154
2023-01,BR034,20500000.0,22428196,238094276,2140291,256,-1928196.0,0.9419880383852655
2023-01,BR035,8000000.0,10065568,94429581,1213172,86,-2065568.0,1.0659337776792635
2023-01,BR036,16000000.0,19315265,206825071,1920738,67,-3315265.0,0.9338937927887861
2023-01,BR037,18300000.0,22197541,203741340,2316851,128,-3897541.0,1.089496171959996
2023-01,BR038,15500000.0,20768538,202227952,2406183,295,-5268538.0,1.0269865166809382
2023-01,BR039,5400000.0,7346309,79130965,658069,67,-1946309.0,0.9283734881787427
2023-01,BR040,13500000.0,24379302,241765529,2141707,215,-10879302.0,1.00838618726328
2023-01,BR041,8300000.0,9397429,97542372,1087509,55,-1097429.0,0.9634201842046654
2023-01,BR042,19700000.0,18994194,201441683,2613219,198,705806.0,0.9429127932772483
2023-01,BR043,19200000.0,20757986,222426465,2594020,179,-1557986.0,0.933251625430454
2023-01,BR044,8700000.0,9130839,98575431,1014119,63,-430839.0,0.9262793890295038
2023-01,BR045,22300000.0,22154165,222792115,2120426,241,145835.0,0.9943873013638745
2023-01,BR046,12300000.0,18574315,180115960,2117042,237,-6274315.0,1.0312420398503275
2023-01,BR047,21500000.0,24501702,231685677,2675523,258,-3001702.0,1.057540643740355
2023-01,BR048,16400000.0,18367469,194112649,2071207,79,-1967469.0,0.9462273115442362
2023-01,BR049,16300000.0,19217156,179629565,1550570,240,-2917156.0,1.06982144058524
2023-01,BR050,10700000.0,13214658,137788567,1542035,83,-2514658.0,0.9590533008446194
2023-02,BR001,8700000.0,15846165,142781964,1513681,116,-7146165.0,1.1098155926752766
2023-02,BR002,8100000.0,11041057,102209163,1114089,244,-2941057.0,1.0802414065361243
2023-02,BR003,9000000.0,9346740,100147595,935110,261,-346740.0,0.9332965010293058
2023-02,BR004,4400000.0,7100203,75323331,719238,88,-2700203.0,0.942629980078815
2023-02,BR005,16000000.0,23065837,222346295,2707450,271,-7065837.0,1.037383465283287
2023-02,BR006,14000000.0,14725069,139969525,1379780,209,-725069.0,1.0520196449905792
2023-02,BR007,14100000.0,18848178,180206900,2195533,83,-4748178.0,1.045918774475339
2023-02,BR008,11800000.0,17653208,157851527,1751929,144,-5853208.0,1.1183425548997064
2023-02,BR009,8900000.0,12449069,116175386,1167578,72,-3549069.0,1.0715754368141284
2023-02,BR010,15800000.0,16575550,150773768,1613354,207,-775550.0,1.0993656403148324
2023-02,BR011,7400000.0,11937591,104214678,1211743,284,-4537591.0,1.1454807738311104
2023-02,BR012,13300000.0,17127490,174105579,2089220,83,-3827490.0,0.9837415950927109
2023-02,BR013,10600000.0,13390175,140160148,1684100,135,-2790175.0,0.9553482349347975
2023-02,BR014,14800000.0,20039705,208271184,2923774,98,-5239705.0,0.9621928783004373
2023-02,BR015,7500000.0,10786555,97355515,1096825,191,-3286555.0,1.1079552093171097
2023-02,BR016,18900000.0,16632762,170059000,1862712,284,2267238.0,0.9780583209356752
2023-02,BR017,5600000.0,7960734,78515189,1059603,173,-2360734.0,1.0139100601286204
2023-02,BR018,9300000.0,9468881,90754236,983108,153,-168881.0,1.043354163655788
2023-02,BR019,16700000.0,18311889,183892871,1697725,192,-1611889.0,0.9957911310221481
2023-02,BR020,11600000.0,10349143,113232621,1330559,243,1250857.0,0.9139718668174253
2023-02,BR021,15100000.0,16375900,156357002,1536804,161,-1275900.0,1.0473403679100983
2023-02,BR022,8900000.0,12226090,118577323,1412986,113,-3326090.0,1.031064767754961
2023-02,BR023,10000000.0,11677670,114051739,1078406,170,-1677670.0,1.0238923231148627
2023-02,BR024,16200000.0,22780358,223710454,2324534,83,-6580358.0,1.0182965343228885
2023-02,BR025,8000000.0,7966054,83950196,826651,94,33946.0,0.9489023706388965
2023-02,BR026,17500000.0,15601830,163190663,1638521,263,1898170.0,0.9560491827893364
2023-02,BR027,11900000.0,13248406,140649346,1415665,282,-1348406.0,0.9419457947568415
2023-02,BR028,17700000.0,17001559,167381444,1581912,61,698441.0,1.0157373836492891
2023-02,BR029,11100000.0,20949944,191144688,1854235,249,-9849944.0,1.0960254359775878
2023-02,BR030,11300000.0,10033328,107711986,1342961,193,1266672.0,0.9314959618328826
2023-02,BR031,18700000.0,24513192,229281120,2403516,233,-5813192.0,1.069132600189671
2023-02,BR032,14400000.0,19257447,201459935,2166064,207,-4857447.0,0.9558946298677203
2023-02,BR033,14600000.0,16753200,172398299,2260012,214,-2153200.0,0.9717729291516964
2023-02,BR034,22900000.0,25690508,235303768,2371243,156,-2790508.0,1.09180181084053
2023-02,BR035,6200000.0,9462545,91167036,974619,172,-3262545.0,1.0379349176164947
2023-02,BR036,18800000.0,19297129,206327942,1766468,82,-497129.0,0.9352649385704626
2023-02,BR037,11100000.0,21075683,193765657,2317013,254,-9975683.0,1.0876892905743354
2023-02,BR038,21200000.0,20288995,203138957,2617312,214,911005.0,0.9987742036107824
2023-02,BR039,4400000.0,7857750,75673215,701047,140,-3457750.0,1.0383792997297656
2023-02,BR040,24200000.0,22812982,243152547,2691371,83,1387018.0,0.9382168635066774
2023-02,BR041,10700000.0,10438348,97804024,1055673,57,261652.0,1.067271833314343
2023-02,BR042,12600000.0,20041334,194000349,2031925,59,-7441334.0,1.0330565951713828
2023-02,BR043,21700000.0,20471910,223654555,1951663,157,1228090.0,0.9153361531134476
2023-02,BR044,10000000.0,8900999,99674432,1156048,242,1099001.0,0.893007245830104
2023-02,BR045,21600000.0,22669394,221722721,1999929,149,-1069394.0,1.0224208821611926
2023-02,BR046,12000000.0,19752222,172363738,1789402,186,-7752222.0,1.1459615711049385
2023-02,BR047,13300000.0,21568765,223416912,2060944,128,-8268765.0,0.9654043110218978
2023-02,BR048,10000000.0,19978461,184134188,1759564,187,-9978461.0,1.0849946561797639
2023-02,BR049,18300000.0,16706368,181223197,2024671,233,1593632.0,0.9218669726922432
2023-02,BR050,14100000.0,13569206,138319361,1410838,208,530794.0,0.9810055441190187
2023-03,BR001,8800000.0,14374462,137207502,1742021,180,-5574462.0,1.0476440275109737
2023-03,BR002,6300000.0,10643034,97866129,1110399,295,-4343034.0,1.0875094487491173
2023-03,BR003,8600000.0,10764970,97982625,896154,227,-2164970.0,1.0986611146619107
2023-03,BR004,6100000.0,7695900,73727431,857589,177,-1595900.0,1.043831298014439
2023-03,BR005,15000000.0,22879477,214466818,2738511,188,-7879477.0,1.0668073137542424
2023-03,BR006,12100000.0,14613708,137455817,1239997,259,-2513708.0,1.0631567523984815
2023-03,BR007,20600000.0,18288399,182518501,1833734,295,2311601.0,1.0020024764503188
2023-03,BR008,9000000.0,16026342,150825185,1673585,164,-7026342.0,1.0625773142595516
2023-03,BR009,7000000.0,12085115,111090271,1491180,172,-5085115.0,1.0878643909330277
2023-03,BR010,10100000.0,14122898,146750870,1520923,183,-4022898.0,0.9623723525455079
2023-03,BR011,9100000.0,11117402,102197276,1079916,148,-2017402.0,1.0878374096781207
2023-03,BR012,15500000.0,15819173,173786406,1587772,153,-319173.0,0.9102652712663842
2023-03,BR013,13200000.0,13148546,140211602,1663198,172,51454.0,0.9377644797183046
2023-03,BR014,14400000.0,19894474,202776710,2245253,153,-5494474.0,0.9811025141891295
2023-03,BR015,6800000.0,10380317,93775198,970831,192,-3580317.0,1.1069362924725574
2023-03,BR016,15400000.0,15751847,169707153,1663431,91,-351847.0,0.9281781422613341
2023-03,BR017,7500000.0,8598646,77416543,975537,239,-1098646.0,1.1106987817836298
2023-03,BR018,9100000.0,8714750,91139486,919119,202,385250.0,0.956199160482428
2023-03,BR019,11400000.0,17880956,177411915,1765044,158,-6480956.0,1.0078779658062988
2023-03,BR020,7200000.0,12123187,108309434,1045404,279,-4923187.0,1.1193103455789455
2023-03,BR021,10500000.0,14251580,152605422,1716623,157,-3751580.0,0.9338842495386566
2023-03,BR022,11900000.0,10990386,119486937,1072004,218,909614.0,0.9197981198563989
2023-03,BR023,12800000.0,11266267,115585472,1455741,200,1533733.0,0.9747130677460918
2023-03,BR024,15000000.0,21479384,217231070,2449628,271,-6479384.0,0.9887804723329863
2023-03,BR025,7900000.0,8102923,83747273,1063677,117,-202923.0,0.9675446984405092
2023-03,BR026,13300000.0,16821127,159669536,1686654,223,-3521127.0,1.0534963288175396
2023-03,BR027,10900000.0,15097026,136452320,1410475,247,-4197026.0,1.1063956992449817
2023-03,BR028,15600000.0,15090549,167890895,1875478,218,509451.0,0.8988306959707374
2023-03,BR029,17100000.0,19235086,189009602,1789162,161,-2135086.0,1.0176777156538324
2023-03,BR030,9100000.0,10890751,105921235,1377348,89,-1790751.0,1.0281933551851052
2023-03,BR031,20900000.0,24520061,225661059,2839353,201,-3620061.0,1.0865880497352447
2023-03,BR032,19800000.0,19955675,201304260,2340213,62,-155675.0,0.9913190610074522
2023-03,BR033,14200000.0,16787308,169810991,2205638,175,-2587308.0,0.9885878352832885
2023-03,BR034,21800000.0,23906608,233197160,2741772,61,-2106608.0,1.0251672018647224
2023-03,BR035,8400000.0,9586564,89980472,1041828,204,-1186564.0,1.065404946975606
2023-03,BR036,16400000.0,18988142,203739800,2512730,219,-2588142.0,0.9319800058702326
2023-03,BR037,12800000.0,17889591,188676066,1938163,56,-5089591.0,0.9481642997580837
2023-03,BR038,22500000.0,21940346,203698611,2416335,159,559654.0,1.077098458958073
2023-03,BR039,7200000.0,7461641,75411574,720945,95,-261641.0,0.9894556769230144
2023-03,BR040,22200000.0,25491751,239860796,2446746,89,-3291751.0,1.0627727175557276
2023-03,BR041,9200000.0,10745613,96258411,916859,159,-1545613.0,1.1163297719510454
2023-03,BR042,13700000.0,18993883,188706466,2361311,136,-5293883.0,1.0065305870335146
2023-03,BR043,23100000.0,21683069,225071486,2225673,252,1416931.0,0.9633858728777398
2023-03,BR044,7300000.0,9749684,97224748,911868,293,-2449684.0,1.0027985878657149
2023-03,BR045,16800000.0,23706559,214816162,2870759,264,-6906559.0,1.1035742738947174
2023-03,BR046,10900000.0,18319845,164943893,1837882,57,-7419845.0,1.1106713117290132
2023-03,BR047,20800000.0,23105035,221111877,2876968,241,-2305035.0,1.0449477121484523
2023-03,BR048,10300000.0,17914151,176520037,1769242,200,-7614151.0,1.01485085231429
2023-03,BR049,13200000.0,18162097,176261100,2101368,68,-4962097.0,1.0304086948282973
2023-03,BR050,13800000.0,15209611,136909750,1489515,123,-1409611.0,1.1109224142181255
2023-04,BR001,12100000.0,13649857,135657645,1297918,224,-1549857.0,1.0061988765911423
2023-04,BR002,9900000.0,9484483,98281646,1103192,96,415517.0,0.965030947894381
2023-04,BR003,6400000.0,10690685,93691940,1170395,86,-4290685.0,1.141046390970237
2023-04,BR004,6600000.0,7337534,72989897,824372,280,-737534.0,1.005280771940259
2023-04,BR005,20600000.0,21428047,213638771,2458640,160,-828047.0,1.0030036635999933
2023-04,BR006,8600000.0,12439921,133615896,1415894,255,-3839921.0,0.931021036598819
2023-04,BR007,19600000.0,19842628,182275873,1720042,214,-242628.0,1.0886041950269523
2023-04,BR008,9200000.0,14445219,145579966,1919789,83,-5245219.0,0.9922532197871237
2023-04,BR009,12100000.0,11347078,111843193,1205913,257,752922.0,1.0145524010567186
2023-04,BR010,13500000.0,14799418,145451452,1905224,78,-1299418.0,1.0174816267904976
2023-04,BR011,8600000.0,10774095,100023181,1175236,81,-2174095.0,1.0771598035859309
2023-04,BR012,18400000.0,16122212,176064194,2048133,265,2277788.0,0.915700781272994
2023-04,BR013,14300000.0,13836507,140675095,1473740,73,463493.0,0.9835790052247699
2023-04,BR014,22200000.0,18453585,206523125,2857503,189,3746415.0,0.8935360144293768
2023-04,BR015,7500000.0,9811836,91463362,829598,165,-2311836.0,1.0727613533384
2023-04,BR016,13800000.0,17869147,165638006,1948318,107,-4069147.0,1.078807179072175
2023-04,BR017,5500000.0,8480922,74435621,1024515,259,-2980922.0,1.1393633701262462
2023-04,BR018,9900000.0,8966705,92072781,1037515,71,933295.0,0.973871420262629
2023-04,BR019,18600000.0,17392673,178619242,1740233,263,1207327.0,0.9737289670056937
2023-04,BR020,9400000.0,10534581,107174853,1405970,291,-1134581.0,0.9829340283769737
2023-04,BR021,15900000.0,15589197,152916225,1617520,141,310803.0,1.0194599690124446
2023-04,BR022,11000000.0,12234380,118252557,1228936,149,-1234380.0,1.0345975013462076
2023-04,BR023,9300000.0,10416739,114468733,1208792,158,-1116739.0,0.9100073641943778
2023-04,BR024,21300000.0,20003503,218527567,2617168,182,1296497.0,0.9153766398726252
2023-04,BR025,6800000.0,8161215,82386058,1078090,296,-1361215.0,0.9906063232203681
2023-04,BR026,10400000.0,16859776,153209760,1751278,88,-6459776.0,1.1004374656027136
2023-04,BR027,11500000.0,14099930,133852390,1126013,265,-2599930.0,1.053393966293766
2023-04,BR028,14200000.0,18017960,164072935,1712105,92,-3817960.0,1.0981677142546393
2023-04,BR029,12900000.0,18270798,183638804,2340873,239,-5370798.0,0.9949312237951625
2023-04,BR030,6700000.0,9614503,103006732,1352034,52,-2914503.0,0.9333858878272149
2023-04,BR031,19800000.0,23967154,221493905,2772824,234,-4167154.0,1.0820683305032706
2023-04,BR032,17500000.0,20619222,198185038,2222924,265,-3119222.0,1.0404025555148113
2023-04,BR033,13100000.0,17578588,165332403,2157104,294,-4478588.0,1.06322703118275
2023-04,BR034,23900000.0,25396669,231700491,2435744,247,-1496669.0,1.0960990583313006
2023-04,BR035,9100000.0,8204222,90876250,1074896,70,895778.0,0.9027905530873028
2023-04,BR036,12600000.0,19283933,197055867,2281439,287,-6683933.0,0.9786023270243459
2023-04,BR037,19700000.0,18810991,189565075,1655872,256,889009.0,0.9923236651055053
2023-04,BR038,18500000.0,19853590,202345021,2220428,231,-1353590.0,0.9811751187097407
2023-04,BR039,5300000.0,7601126,73110448,910389,216,-2301126.0,1.0396771197462775
2023-04,BR040,23200000.0,22741336,240319460,2000537,138,458664.0,0.9462960677424958
2023-04,BR041,10400000.0,8827015,97831396,903213,186,1572985.0,0.9022681225973715
2023-04,BR042,16600000.0,20095246,185211220,1973034,211,-3495246.0,1.0849907473208156
2023-04,BR043,14800000.0,21605269,218266217,2275556,67,-6805269.0,0.9898585908968219
2023-04,BR044,10200000.0,9526285,97898463,1017910,300,673715.0,0.9730780962311941
2023-04,BR045,20200000.0,23189655,211826507,2684092,96,-2989655.0,1.0947475520615555
2023-04,BR046,10900000.0,16931441,158912452,2257055,212,-6031441.0,1.0654571612802248
2023-04,BR047,15300000.0,21244788,215167089,1960505,238,-5944788.0,0.9873623377411588
2023-04,BR048,16900000.0,17476035,175944002,1964017,179,-576035.0,0.9932725640741081
2023-04,BR049,17100000.0,15886466,177474634,1630322,192,1213534.0,0.8951400908368684
2023-04,BR050,10400000.0,14892974,132416776,1646461,196,-4492974.0,1.1247044709803233
2023-05,BR001,14600000.0,13331429,136926216,1700575,111,1268571.0,0.973621369920863
2023-05,BR002,8600000.0,9374907,97506739,1224110,122,-774907.0,0.9614624687633129
2023-05,BR003,9700000.0,10044814,93347126,809482,168,-344814.0,1.0760710511858715
2023-05,BR004,5500000.0,6737090,71752807,894733,233,-1237090.0,0.9389305145929692
2023-05,BR005,14100000.0,23382812,204355959,2443339,277,-9282812.0,1.1442197288702503
2023-05,BR006,8100000.0,12128575,129587321,1574847,184,-4028575.0,0.9359384009489631
2023-05,BR007,13000000.0,16610206,178665667,2272576,174,-3610206.0,0.9296809106586774
2023-05,BR008,10900000.0,15348091,141131875,1301058,189,-4448091.0,1.0874999712148656
2023-05,BR009,10200000.0,11416550,110626643,1248851,124,-1216550.0,1.0319891926938431
2023-05,BR010,14300000.0,14052877,145698575,1656748,78,247123.0,0.9645171203630509
2023-05,BR011,10800000.0,10308020,100515161,1062178,253,491980.0,1.0255189264433453
2023-05,BR012,11200000.0,16556663,170707531,1555219,112,-5356663.0,0.9698847439835562
2023-05,BR013,9400000.0,14977937,135097158,1829329,264,-5577937.0,1.1086789109212793
2023-05,BR014,14100000.0,19630907,200992218,2184265,165,-5530907.0,0.9766998541207202
2023-05,BR015,9400000.0,9085217,91778145,1179483,101,314783.0,0.9899107243886875
2023-05,BR016,17000000.0,16634409,166003597,1884863,244,365591.0,1.0020511182055891
2023-05,BR017,8800000.0,7962778,75272843,925807,278,837222.0,1.0578553542876012
2023-05,BR018,8300000.0,10003003,90369778,993409,245,-1703003.0,1.1068969318481672
2023-05,BR019,13300000.0,16240061,175679181,1713823,260,-2940061.0,0.9244157963145331
2023-05,BR020,9500000.0,11448338,105226515,1475253,135,-1948338.0,1.087970840809467
2023-05,BR021,12700000.0,16403854,149212371,1756638,276,-3703854.0,1.099362867171382
2023-05,BR022,10900000.0,10805780,118346777,1238470,182,94220.0,0.9130607756221362
2023-05,BR023,8600000.0,10760427,112308306,1061539,266,-2160427.0,0.9581149768210375
2023-05,BR024,17700000.0,22692425,213535142,2003824,107,-4992425.0,1.0627021289076624
2023-05,BR025,8600000.0,8364380,82621678,742562,291,235620.0,1.012371111610684
2023-05,BR026,12200000.0,15430647,149979113,2036441,212,-3230647.0,1.0288530643597018
2023-05,BR027,12200000.0,13009722,133042668,1467551,220,-809722.0,0.9778608769331053
2023-05,BR028,16200000.0,16770902,163502033,1625455,225,-570902.0,1.025730487400117
2023-05,BR029,10700000.0,18191956,176146848,2032069,263,-7491956.0,1.032772156104661
2023-05,BR030,6800000.0,9298388,100508344,1255107,139,-2498388.0,0.9251359270231335
2023-05,BR031,18600000.0,21679940,218413965,2382675,128,-3079940.0,0.9926077757894282
2023-05,BR032,19600000.0,18524095,199260943,2092543,68,1075905.0,0.9296400348762778
2023-05,BR033,16700000.0,15873275,166159128,2050105,215,826725.0,0.9553056272659303
2023-05,BR034,14300000.0,23844542,222155949,2180706,165,-9544542.0,1.073324487025103
2023-05,BR035,6100000.0,9383497,87592753,889260,260,-3283497.0,1.071264080488485
2023-05,BR036,18500000.0,20044936,195510931,1956605,255,-1544936.0,1.0252590940810362
2023-05,BR037,17600000.0,19312338,187852737,1795421,156,-1712338.0,1.028057312787516
2023-05,BR038,13300000.0,18993953,196651068,1938100,121,-5693953.0,0.9658708286293162
2023-05,BR039,6200000.0,7230507,72079941,689979,177,-1030507.0,1.0031233238662056
2023-05,BR040,19500000.0,22684582,237134878,2202191,226,-3184582.0,0.956610946113123
2023-05,BR041,11000000.0,9736599,99094797,1034658,181,1263401.0,0.9825540083602976
2023-05,BR042,15900000.0,17091083,184020137,2511918,79,-1191083.0,0.9287615626544176
2023-05,BR043,15200000.0,23421500,210044717,2038961,277,-8221500.0,1.1150720824842262
2023-05,BR044,10800000.0,10088614,98609849,1098575,254,711386.0,1.0230838098129529
2023-05,BR045,18500000.0,19583986,210742521,2541240,165,-1083986.0,0.9292849827871233
2023-05,BR046,15000000.0,16457031,157455421,1586132,136,-1457031.0,1.045186688110281
2023-05,BR047,15500000.0,19699298,210967791,2141608,285,-4199298.0,0.9337585565371919
2023-05,BR048,17000000.0,18740097,174203905,1789128,286,-1740097.0,1.0757564246335352
2023-05,BR049,17600000.0,18943390,176131244,2154577,78,-1343390.0,1.0755269519359096
2023-05,BR050,10800000.0,14179586,129037190,1209732,62,-3379586.0,1.0988759132154071
2023-06,BR001,14300000.0,12728986,138497230,1461204,52,1571014.0,0.919078742585682
2023-06,BR002,6700000.0,9205406,95001333,1156998,173,-2505406.0,0.9689765089927738
2023-06,BR003,7400000.0,8824472,91922654,1016470,270,-1424472.0,0.9599888184255428
2023-06,BR004,7600000.0,6951753,72401054,888900,207,648247.0,0.9601729002453472
2023-06,BR005,18200000.0,20479905,202076054,1948201,132,-2279905.0,1.0134751047741657
2023-06,BR006,13800000.0,13631336,129755985,1520557,290,168664.0,1.0505362045534932
2023-06,BR007,17600000.0,16570470,179695197,2452055,251,1029530.0,0.9221431778168229
2023-06,BR008,12900000.0,14502061,139529814,1654684,64,-1602061.0,1.0393521344477676
2023-06,BR009,8500000.0,10680944,108445699,1093487,194,-2180944.0,0.9849117206575431
2023-06,BR010,13300000.0,14975141,144023434,1394037,184,-1675141.0,1.0397711389106303
2023-06,BR011,9700000.0,9047010,101168151,976439,110,652990.0,0.8942547541468855
2023-06,BR012,15600000.0,16209554,170097977,1559413,90,-609554.0,0.9529539554723805
2023-06,BR013,15300000.0,14387547,136009611,1377297,264,912453.0,1.0578331115144501
2023-06,BR014,19700000.0,18803221,201888997,2568114,230,896779.0,0.9313643278935105
2023-06,BR015,7700000.0,8766387,90711758,940339,136,-1066387.0,0.9664002984045353
2023-06,BR016,16200000.0,15329387,166874210,1846505,291,870613.0,0.9186193001303197
2023-06,BR017,7700000.0,7023389,75949454,788702,132,676611.0,0.9247451601166218
2023-06,BR018,6600000.0,8224642,88745136,1070095,259,-1624642.0,0.9267710176251237
2023-06,BR019,14700000.0,18229757,172149424,1641418,282,-3529757.0,1.0589496366830713
2023-06,BR020,9900000.0,10236065,104890450,1295254,125,-336065.0,0.975881503034833
2023-06,BR021,8800000.0,15533655,142478716,1862011,137,-6733655.0,1.0902438929896026
2023-06,BR022,9400000.0,11858438,115888339,1119420,117,-2458438.0,1.0232641266866376
2023-06,BR023,9500000.0,11875838,109932468,1554204,187,-2375838.0,1.0802848526970212
2023-06,BR024,19500000.0,22178993,210856149,2945807,56,-2678993.0,1.0518542193426854
2023-06,BR025,8000000.0,7779326,82842352,1002203,81,220674.0,0.9390518028749353
2023-06,BR026,11500000.0,16024189,145454924,1632895,151,-4524189.0,1.1016601266795203
2023-06,BR027,13900000.0,12202833,134739835,1458353,170,1697167.0,0.9056588944167847
2023-06,BR028,15400000.0,17596181,161305852,1741710,62,-2196181.0,1.0908581915552573
2023-06,BR029,14900000.0,16799924,174246924,2058805,297,-1899924.0,0.9641446525621307
2023-06,BR030,9300000.0,10063771,99744573,1025870,136,-763771.0,1.0089542415505652
2023-06,BR031,13800000.0,24016491,208197474,2066325,53,-10216491.0,1.1535438225345616
2023-06,BR032,12400000.0,18189981,193470962,1838982,157,-5789981.0,0.9401917896081997
2023-06,BR033,13500000.0,17659971,161999157,1620199,288,-4159971.0,1.09012733936634
2023-06,BR034,15300000.0,21119398,216336551,1992620,295,-5819398.0,0.9762288389260675
2023-06,BR035,9800000.0,8366653,89026100,1201764,134,1433347.0,0.9397977671716496
2023-06,BR036,11900000.0,19998396,187412535,2345752,99,-8098396.0,1.0670788909610556
2023-06,BR037,15400000.0,18893337,184359400,1671756,208,-3493337.0,1.0248100720657585
2023-06,BR038,23700000.0,18611895,201739173,2289897,81,5088105.0,0.922572186810739
2023-06,BR039,4300000.0,6619391,69760550,838398,90,-2319391.0,0.948873109515335
2023-06,BR040,15400000.0,21648557,230886321,2497587,295,-6248557.0,0.9376283924589884
2023-06,BR041,10000000.0,9235816,99858981,1241940,162,764184.0,0.9248858647976791
2023-06,BR042,13200000.0,17646164,179573973,2264997,77,-4446164.0,0.9826682400127105
2023-06,BR043,20500000.0,22423519,208121198,2633805,219,-1923519.0,1.0774260005941345
2023-06,BR044,7900000.0,9943684,96566165,1085188,199,-2043684.0,1.0297275448393337
2023-06,BR045,15400000.0,21918612,204223909,2505453,204,-6518612.0,1.0732637577708886
2023-06,BR046,11900000.0,15976151,153379270,1951011,251,-4076151.0,1.0416108382834264
2023-06,BR047,19500000.0,20968967,209498824,2688896,128,-1468967.0,1.000910964540784
2023-06,BR048,17600000.0,17381182,174422723,2096589,211,218818.0,0.9964975721655257
2023-06,BR049,10300000.0,19314183,167117061,2025289,122,-9014183.0,1.1557277805406114
2023-06,BR050,9400000.0,13954606,124482584,1556372,158,-4554606.0,1.1210087027113769
2023-07,BR001,15200000.0,14715688,138981542,1360876,265,484312.0,1.0588231925071028
2023-07,BR002,10200000.0,9497492,95703841,1011978,171,702508.0,0.9923835763289793
2023-07,BR003,6600000.0,8335818,90186836,832037,252,-1735818.0,0.9242832290956521
2023-07,BR004,6200000.0,6755363,71845691,847726,103,-555363.0,0.9402600080775895
2023-07,BR005,23900000.0,19265750,206710304,2690178,241,4634250.0,0.9320169158088993
2023-07,BR006,12200000.0,13305966,128650019,1195519,256,-1105966.0,1.0342762561115517
2023-07,BR007,15000000.0,18529495,176165702,1979156,254,-3529495.0,1.0518219375074498
2023-07,BR008,8600000.0,15314240,132815574,1414879,114,-6714240.0,1.153045500522401
2023-07,BR009,11500000.0,11855066,108090633,1549965,104,-355066.0,1.0967708922566861
2023-07,BR010,12800000.0,14449194,142374240,1674686,271,-1649194.0,1.0148741794864016
2023-07,BR011,9700000.0,10562961,100305190,1191294,164,-862961.0,1.0530821984385852
2023-07,BR012,10900000.0,15976891,165021086,1967119,251,-5076891.0,0.9681726976393792
2023-07,BR013,10800000.0,14124158,132685453,1403155,95,-3324158.0,1.0644842882663255
2023-07,BR014,21800000.0,19262102,204426895,2757786,157,2537898.0,0.9422489149482998
